"ID","Series","Supplier","Title","Date","Company","Currency","Exchange Rate","Status","Supplier Name","Price List","ID (Items)","Amount (Company Currency) (Items)","Item Code (Items)","Item Name (Items)","Quantity (Items)","Rate (Company Currency) (Items)","Required By (Items)","Stock UOM (Items)","UOM (Items)","UOM Conversion Factor (Items)"
"PUR-ORD-25/26-01721","PUR-ORD-.25/26.-","Asha Enterprises","{supplier_name}","2026-06-25","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Draft","Asha Enterprises","Standard Buying","jkl5i6hug1",500.0,"ASUS ALL IN ONE DESKTOP","ASUS ALL IN ONE DESKTOP",500.0,1.0,"2026-06-27","Nos","Nos",1.0
"PUR-ORD-25/26-01705","PUR-ORD-.25/26.-","Nikashi Enterprises LLP","{supplier_name}","2026-05-05","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Draft","Nikashi Enterprises LLP","Standard Buying","tcv58ndrvu",3621000.0,"32 INCHES SFL LED TV","32 INCHES SFL LED TV",850.0,4260.0,"2026-06-08","Nos","Nos",1.0
"","","","","","","","","","","","v8atv3o6pm",170000.0,"86 Inches LED/CCTV","86 Inches LED/CCTV",2.0,85000.0,"2026-05-08","Nos","Nos",1.0
"PUR-ORD-25/26-01704","PUR-ORD-.25/26.-","Next Gen Corporation","{supplier_name}","2026-05-28","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Draft","Next Gen Corporation","Standard Buying","6blc9mgg9c",171296.0,"6A Multi Socket For 2&3 Pin","6A Multi Socket For 2&3 Pin",3200.0,53.53,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","rpbo32s9dv",348450.0,"6A/13A Combine Socket","6A/13A Combine Socket",4600.0,75.75,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","2149i5e6da",57974.0,"6A 2in1 Socket Area Backpiece","6A 2in1 Socket Area Backpiece",1400.0,41.41,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","l1vtas36e6",547824.0,"USB-A Charger Single Port","USB-A Charger Single Port",800.0,684.78,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","id2kl3hnie",139380.0,"10A &16A Kit Kat Fuse Flush","10A &16A Kit Kat Fuse Flush",2000.0,69.69,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","b1itdjho72",64438.0,"Neon Indicator 240V-50Hz","Neon Indicator 240V-50Hz",1100.0,58.58,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","7o6p4sfnl8",77568.0,"Mini Tel Jack With Shutter","Mini Tel Jack With Shutter",800.0,96.96,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","u1p0r9pvjr",158873.0,"Telephone Jack Double W/O Shutter","Telephone Jack Double W/O Shutter",1300.0,122.21,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","cgg7ovmaed",60600.0,"TV Outlet Mini","TV Outlet Mini",1000.0,60.6,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","ijm98jekff",79992.0,"TV Outlet Deluxe","TV Outlet Deluxe",1200.0,66.66,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","pn8loims3k",31815.0,"6A 1Way Switch Deluxe(IP20)","6A 1Way Switch Deluxe(IP20)",1500.0,21.21,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","3s0lu9jnqp",843552.0,"Dimmer Tiny 450W","Dimmer Tiny 450W",1800.0,468.64,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","173r2c7mbn",1099284.0,"Emergency LED Light 3 Module 240V","Emergency LED Light 3 Module 240V",1200.0,916.07,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","3aeh7phns4",631048.0,"Foot Light","Foot Light",1100.0,573.68,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","phnlg4pmeh",94657.2,"Foot Light","Foot Light",165.0,573.68,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","s3nj2i83oj",276790.0,"Foot Lamp (Opaque) with 4 Module box & Tresa Cover","Foot Lamp (Opaque) with 4 Module box & Tresa Cover",500.0,553.58,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","gb2jec8epi",3519648.0,"PIR  MOTION SENSOR","PIR  MOTION SENSOR",900.0,3910.72,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","mo3nfgsu02",885568.0,"Foot Lamp (Louvres) with 4 Module box & Tersa Cover","Foot Lamp (Louvres) with 4 Module box & Tersa Cover",1600.0,553.48,"2026-05-31","Nos","Nos",1.0
"","","","","","","","","","","","n18drbmg42",912442.72,"Electrical Fittings","Electrical Fittings",10136.0,90.02,"2026-05-31","Nos","Nos",1.0
"PUR-ORD-25/26-01703","PUR-ORD-.25/26.-","Akhil hardware Electricals","{supplier_name}","2026-03-24","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Completed","Akhil hardware Electricals","Standard Buying","rlubn14ijr",2964.5,"25mm pvc pipe including accessories","25mm pvc pipe including accessories",70.0,42.35,"2026-03-24","Nos","Nos",1.0
"PUR-ORD-25/26-01702","PUR-ORD-.25/26.-","Akhil Hardware & Electricals","{supplier_name}","2026-03-24","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Completed","Akhil Hardware & Electricals","Standard Buying","0b14nb3kjh",6813.9,"40mm PVC Pipe","40mm PVC Pipe",201.0,33.9,"2026-03-24","Nos","mtr",1.0
"PUR-ORD-25/26-01690","PUR-ORD-.25/26.-","SAI CCTV SYSTEM","{supplier_name}","2026-04-02","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Draft","SAI CCTV SYSTEM ","Standard Buying","anp3tic8fk",8000.0,"Camera Installation","Camera Installation",8.0,1000.0,"2026-04-03","Nos","Nos",1.0
"PUR-ORD-25/26-01682","PUR-ORD-.25/26.-","CXTEK INNOVATIONS INDIA PRIVATE LIMITED","{supplier_name}","2026-03-31","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"To Receive and Bill","CXTEK INNOVATIONS INDIA PRIVATE LIMITED","Standard Buying","3o8cuck0iu",6286500.0,"Supply of L2 switches with 24 port POE Ethernet + 4 port SFP (with 28port) along with all accessories","Supply of L2 switches with 24 port POE Ethernet + 4 port SFP (with 28port) along with all accessories",127.0,49500.0,"2026-03-31","Nos","Nos",1.0
"","","","","","","","","","","","070sh5rn2v",480000.0,"Supply of 8 port POE Managed Switch","Supply of 8 port POE Managed Switch",48.0,10000.0,"2026-03-31","Nos","Nos",1.0
"PUR-ORD-25/26-01675","PUR-ORD-.25/26.-","A S Technology PVT LTD","{supplier_name}","2026-03-31","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"To Receive and Bill","A S Technology PVT LTD","Standard Buying","vbt8a2tij2",162000.0,"2TB External Hard Disk","2TB External Hard Disk",20.0,8100.0,"2026-03-31","Nos","Nos",1.0
"","","","","","","","","","","","aa1f8ck7kk",590000.0,"4TB External Hard Disk","4TB External Hard Disk",50.0,11800.0,"2026-03-31","Nos","Nos",1.0
"PUR-ORD-25/26-01586","PUR-ORD-.25/26.-","XYLONE ENTERPRISE","{supplier_name}","2026-03-23","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"To Receive and Bill","XYLONE ENTERPRISE","Standard Buying","k528h2ng0r",1743750.0,"43'' Google TV With Stand","43'' Google TV With Stand",155.0,11250.0,"2026-03-23","Nos","Nos",1.0
"","","","","","","","","","","","4e9mbcgsdc",1296000.0,"DC Female Cable for Mini UPS","DC Female Cable for Mini UPS",18000.0,72.0,"2026-03-23","Nos","Nos",1.0
"PUR-ORD-25/26-01555","PUR-ORD-.25/26.-","XYLONE ENTERPRISE","{supplier_name}","2026-03-17","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Completed","XYLONE ENTERPRISE","Standard Buying","k49qit97ts",2475000.0,"43'' Google TV With Stand","43'' Google TV With Stand",220.0,11250.0,"2026-03-17","Nos","Nos",1.0
"PUR-ORD-25/26-01551","PUR-ORD-.25/26.-","XYLONE ENTERPRISE","{supplier_name}","2026-03-16","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"To Receive and Bill","XYLONE ENTERPRISE","Standard Buying","08n868nrbb",2398000.0,"55'' Google TV With Stand","55'' Google TV With Stand",110.0,21800.0,"2026-03-16","Nos","Nos",1.0
"PUR-ORD-25/26-01550","PUR-ORD-.25/26.-","EMPOWER TECHNOLOGIES","{supplier_name}","2026-03-16","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Draft","EMPOWER TECHNOLOGIES","Standard Buying","6hlfacg8h8",1135000.0,"CAT 6 STP FR PVC Cable","CAT 6 STP FR PVC Cable",100.0,11350.0,"2026-03-16","Nos","Box",1.0
"PUR-ORD-25/26-01528","PUR-ORD-.25/26.-","Computer Junction Pvt. Ltd","{supplier_name}","2026-03-12","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"To Receive and Bill","Computer Junction Pvt. Ltd","Standard Buying","3p6c80m9ta",990000.0,"LAPTOP","LAPTOP",660.0,1500.0,"2026-03-12","Nos","Nos",1.0
"PUR-ORD-25/26-01480","PUR-ORD-.25/26.-","XYLONE ENTERPRISE","{supplier_name}","2026-03-06","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Completed","XYLONE ENTERPRISE","Standard Buying","i38p4p6hip",9460000.0,"MINIUP12V001","MINI UPS",17200.0,550.0,"2026-03-06","Nos","Nos",1.0
"PUR-ORD-25/26-01431","PUR-ORD-.25/26.-","Subham Poles Projects (P) Ltd","{supplier_name}","2026-02-27","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Completed","Subham Poles Projects (P) Ltd","Standard Buying","edumn12799",707000.0,"Foundation Bolts","Foundation Bolts",505.0,1400.0,"2026-02-27","Nos","Set",1.0
"","","","","","","","","","","","p6sn120h4l",35000.0,"TRANCHARG001","Transport Charges ",1.0,35000.0,"2026-03-25","Nos","Nos",1.0
